School Code	School Name	School Type	School District	County	Reported?	Data Source	Grade Levels	K-12 Number Enrolled	K-12 Number Complete	K-12 Number Exempt	K-12 Number Exempt: Medical	K-12 Number Exempt: Personal	K-12 Number Exempt: Religious	K-12 Number Exempt: Religious Member	K-12 Number Exempt: D/T	K-12 Number Exempt: Pertussis	K-12 Number Exempt: Polio	K-12 Number Exempt: MMR	K-12 Number Exempt: Hep B	K-12 Number Exempt: Varicella
8395	Rock Creek Hutterite	Private	Odessa School District	LINCOLN	Yes	IIS	K-12	1	0	1	0	0	0	1	1	1	1	1	1	1
8951	Theresa and Elizabeths School	Private	Monroe School District	SNOHOMISH	Yes	IIS	K-12	1	1	0	0	0	0	0	0	0	0	0	0	0
4178	Decatur Elementary	Public	Lopez School District	SKAGIT	Yes	XLSCSV	K -8	1	1	0	0	0	0	0	0	0	0	0	0	0
5260	The Seattle Public Schools Skills Center	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	12	1	0	0	0	0	0	0	0	0	0	0	0	0
1485	Freedom Academy	Private	Puyallup School District	PIERCE	Yes	IIS	K-12	2	2	0	0	0	0	0	0	0	0	0	0	0
8124	Cascade Independent High School	Private	Enumclaw School District	KING	Yes	IIS	5-12	2	1	0	0	0	0	0	0	0	0	0	0	0
8314	Trinity Reformed Christian School	Private	Sunnyside School District	YAKIMA	Yes	IIS	1-8	2	2	0	0	0	0	0	0	0	0	0	0	0
8580	Alcuin School	Private	Seattle Public Schools	KING	Yes	IIS	P-1	2	2	0	0	0	0	0	0	0	0	0	0	0
8866	Green Pastures Learning Center	Private	Naches Valley School District	YAKIMA	Yes	IIS	K-12	2	2	0	0	0	0	0	0	0	0	0	0	0
801R	Dolan Academy & Learning Center	Private	Northshore School District	KING	Yes	Paper	K-8	2	2	0	0	0	0	0	0	0	0	0	0	0
1489	Sno-King Academy	Private	Shoreline School District	KING	Yes	IIS	3-12	4	4	0	0	0	0	0	0	0	0	0	0	0
1498	Saddle Mountain School	Private	Othello School District	ADAMS	Yes	IIS	4-12	4	4	0	0	0	0	0	0	0	0	0	0	0
5181	Snoqualmie Access	Public	Snoqualmie Valley School District	KING	Yes	IIS	PK-12	4	1	0	0	0	0	0	0	0	0	0	0	0
8852	Lakeview Academy	Private	Snohomish School District	SNOHOMISH	Yes	IIS	5-9	4	4	0	0	0	0	0	0	0	0	0	0	0
1677	Special Programs	Public	North Kitsap School District	KITSAP	Yes	XLSCSV	PK-9	4	2	0	0	0	0	0	0	0	0	0	0	0
1881	Re-Entry Middle School	Public	Clover Park School District	PIERCE	Yes	XLSCSV	6-8	4	4	0	0	0	0	0	0	0	0	0	0	0
1605	Twin Cedars High School	Public	Concrete School District	SKAGIT	Yes	IIS	10-12	5	1	1	0	1	0	0	0	0	0	0	1	0
1762	Skagit River School House	Public	Concrete School District	SKAGIT	Yes	IIS	K -12	5	1	1	0	1	0	0	0	0	0	0	1	0
OICP5	Spokane Falls Montessori	Private	Spokane School District	SPOKANE	Yes	IIS		5	4	1	0	1	0	0	0	0	0	0	0	1
5189	NV Connections	Public	Nooksack Valley School District	WHATCOM	Yes	IIS	K -12	6	3	1	0	1	0	0	1	1	1	1	1	1
8044	Yellow Wood Academy	Private	Mercer Island School District	KING	Yes	IIS	K-12	6	6	0	0	0	0	0	0	0	0	0	0	0
8961	Hillcrest Academy	Private	Lake Stevens School District	SNOHOMISH	Yes	IIS	1-12	6	6	0	0	0	0	0	0	0	0	0	0	0
800A	BK Play Academy for Gifted Children	Private	Bellevue School District	KING	Yes	IIS	P-3	6	6	0	0	0	0	0	0	0	0	0	0	0
800Y	Mt. Olive Lutheran School	Private	Shelton School District	MASON	Yes	IIS	K-1	6	5	1	0	1	0	0	1	1	1	1	1	1
8384	Brightmont Academy--Seattle Campus	Private	Seattle Public Schools	KING	Yes	Paper	6-12	6	6	0	0	0	0	0	0	0	0	0	0	0
OICP12	Mt. Tahoma Montessori	Private	Federal Way School District	KING	Yes	Paper	PK-K	6	6	0	0	0	0	0	0	0	0	0	0	0
1534	Griffin Home	Public	Renton School District	KING	Yes	XLSCSV	6-12	6	0	0	0	0	0	0	0	0	0	0	0	0
3396	Woodinville Community Center	Public	Northshore School District	KING	Yes	XLSCSV	9-12	6	0	0	0	0	0	0	0	0	0	0	0	0
8066	Dartmoor School--Seattle	Private	Seattle Public Schools	KING	Yes	eFile	1-12	7	7	0	0	0	0	0	0	0	0	0	0	0
8261	Dartmoor School--Woodinville	Private	Northshore School District	KING	Yes	eFile	1-12	7	7	0	0	0	0	0	0	0	0	0	0	0
1496	Community Montessori	Private	Tacoma School District	PIERCE	Yes	IIS	P-8	7	0	0	0	0	0	0	0	0	0	0	5	5
3269	Special Education School	Public	Wenatchee School District	CHELAN	Yes	IIS	PK-9	7	5	0	0	0	0	0	0	0	0	0	0	0
3616	Special Services	Public	Clarkston School District	ASOTIN	Yes	IIS	PK-12	7	4	0	0	0	0	0	0	0	0	0	0	0
4229	Beezley Springs Elementary	Public	Ephrata School District	GRANT	Yes	IIS	PK-1	7	4	0	0	0	0	0	0	0	0	0	0	0
8946	"Alger Learning Center, Inc."	Private	Mount Baker School District	WHATCOM	Yes	IIS	P-12	7	6	1	0	1	0	0	1	1	1	1	1	1
OICP18	Children Around the World	Private	Kalama School District	COWLITZ	Yes	Paper	K-1	7	7	0	0	0	0	0	0	0	0	0	0	0
1462	Calvary Christian Academy	Private	Everett School District	SNOHOMISH	Yes	IIS	P-3	8	6	2	0	2	0	0	2	2	2	2	2	2
8127	Peaceful Valley Christian School	Private	Tonasket School District	OKANOGAN	Yes	IIS	1-8	8	7	2	1	0	1	0	1	2	1	1	1	1
8258	Imagination School of Education	Private	Bethel School District	PIERCE	Yes	IIS	P-10	8	8	0	0	0	0	0	0	0	0	0	0	0
8313	Selah Covenant Christian School	Private	Selah School District	YAKIMA	Yes	IIS	1-6	8	8	0	0	0	0	0	0	0	0	0	0	0
OICP13	Valley Montessori	Private	Central Valley School District	SPOKANE	Yes	Paper	K	8	6	1	0	1	0	0	1	1	1	1	1	1
1882	Special Education Services/relife	Public	Clover Park School District	PIERCE	Yes	XLSCSV	PK-12	8	2	0	0	0	0	0	0	0	0	0	0	0
2513	Skykomish High School	Public	Skykomish School District	KING	Yes	XLSCSV	9-12	8	4	2	0	2	0	0	2	2	2	2	2	0
1475	Stillpoint School	Private	San Juan Island School District	SAN JUAN	Yes	IIS	K-6	9	9	0	0	0	0	0	0	0	0	0	0	0
2007	Star Elem School	Public	Star School District	BENTON	Yes	IIS	2-5	9	7	1	0	0	1	0	1	1	1	1	0	0
8369	The Children's Inn Academy	Private	Olympia School District	THURSTON	Yes	IIS	P-6	9	9	0	0	0	0	0	0	0	0	0	0	0
800X	Light of Faith Christian Academy	Private	Everett School District	SNOHOMISH	Yes	IIS	P-12	9	9	0	0	0	0	0	0	0	0	0	0	0
OICP22	Good Shepard Montessori	Private	Evergreen School District (Clark)	CLARK	Yes	Paper	PK-K	9	9	0	0	0	0	0	0	0	0	0	0	0
5184	Tacoma Pierce County Education Center	Public	Tacoma School District	PIERCE	Yes	XLSCSV	9-12	9	6	0	0	0	0	0	0	0	0	0	0	0
1933	Elementary Alternative Center	Public	Clarkston School District	ASOTIN	Yes	IIS	K -8	10	1	7	1	6	0	0	7	7	7	7	7	6
5244	CHOICE	Public	Riverview School District	KING	Yes	Paper	7-10	10	7	2	0	2	0	0	1	1	2	1	2	0
OICP16	Montessori Farmhouse School	Private	South Kitsap School District	KITSAP	Yes	Paper	K-3	10	7	3	0	3	0	0	3	3	3	3	3	3
OICP25	Montessori Children's House of Longview	Private	Longview School District	COWLITZ	Yes	Paper	PK-K	10	6	4	0	4	0	0	4	4	4	4	4	4
1880	Re-Entry High School	Public	Clover Park School District	PIERCE	Yes	XLSCSV	9-12	10	8	0	0	0	0	0	0	0	0	0	0	0
2895	Garfield Elementary	Public	Garfield School District	WHITMAN	Yes	IIS	PK-5	11	10	1	0	1	0	0	1	1	1	1	0	1
3142	Benge Elementary	Public	Benge School District	ADAMS	Yes	IIS	K -6	11	9	2	0	2	0	0	2	2	2	2	2	2
8371	Arlington Christian School	Private	Lakewood School District	SNOHOMISH	Yes	IIS	P-12	11	8	1	0	1	0	0	1	1	1	1	1	1
8596	Nile Christian School/Hope Academy	Private	Naches Valley School District	YAKIMA	Yes	IIS	7-12	11	10	1	0	1	0	0	0	1	1	1	1	1
OICP10	Capital Montessori School	Private	North Thurston Public Schools	THURSTON	Yes	Paper	PK-1	11	11	0	0	0	0	0	0	0	0	0	0	0
4283	Pearl Street Center	Public	Tacoma School District	PIERCE	Yes	XLSCSV	6-12	11	7	0	0	0	0	0	0	0	0	0	0	0
1478	North Whidbey Christian High	Private	Oak Harbor School District	ISLAND	Yes	IIS	9-12	12	12	0	0	0	0	0	0	0	0	0	0	0
1898	Republic Parent Partner	Public	Republic School District	FERRY	Yes	IIS	K -12	12	8	4	0	3	1	0	3	2	1	3	2	0
8409	Greater Trinity Christian Learning Academy	Private	Mukilteo School District	SNOHOMISH	Yes	IIS	P-1	12	12	0	0	0	0	0	0	0	0	0	0	0
8751	Zion Preparatory Academy	Private	Seattle Public Schools	KING	Yes	IIS	P-1	12	11	0	0	0	0	0	0	0	0	0	0	0
801A	Seattle Area German American School	Private	Seattle Public Schools	KING	Yes	IIS	P-2	12	12	0	0	0	0	0	12	12	12	12	12	12
Initial	Discovery Depot Montessori Schoolhouse	Private	Central Kitsap School District	KITSAP	Yes	IIS	P-1	12	12	0	0	0	0	0	0	0	0	0	0	0
Initial	Makkah Islamic School	Private	Seattle Public Schools	KING	Yes	IIS	P-8	12	12	0	0	0	0	0	0	0	0	0	0	0
Initial	Northern Lights Montessori School	Private	Lake Washington School District	KING	Yes	IIS	P-8	12	12	0	0	0	0	0	0	0	0	0	0	0
Initial	Stella Maris Academy	Private	Edmonds School District	SNOHOMISH	Yes	IIS	P-8	12	12	0	0	0	0	0	0	0	0	0	0	0
8287	North Bend Montessori Inc	Private	Snoqualmie Valley School District	KING	Yes	Paper	P-1	12	8	0	0	0	0	0	0	0	0	0	0	0
OICP15	Camas Montessori School	Private	Camas School District	CLARK	Yes	Paper	PK-K	12	11	1	0	1	0	0	0	0	1	1	1	1
OICP28	Creative Montessori	Private	Northshore School District	KING	Yes	Paper	K	12	9	1	0	1	0	0	1	1	1	1	1	1
3808	Waldron Island School	Public	Orcas Island School District	SAN JUAN	Yes	XLSCSV	1-8	12	1	9	0	9	0	0	6	4	8	8	9	7
8933	Dartmoor School--Bellevue 	Private	Northshore School District	KING	Yes	eFile	1-12	13	13	0	0	0	0	0	0	0	0	0	0	0
801H	Applied Scholastics Academy of Seattle	Private	Seattle Public Schools	KING	Yes	IIS	K-6	13	8	5	0	5	0	0	5	5	5	5	5	5
OICP23	"Nancy's Noah Ark, Inc."	Private	Everett School District	SNOHOMISH	Yes	Paper	K	13	12	1	0	1	0	0	0	0	0	1	0	0
3910	Oak Grove Elementary School	Public	Clover Park School District	PIERCE	Yes	XLSCSV	K-6	13	0	0	0	0	0	0	0	0	0	0	0	0
4459	Point Roberts Primary	Public	Blaine School District	WHATCOM	Yes	eFile	K -2	14	5	1	0	1	0	0	0	0	0	0	0	1
1425	Goldendale Christian School	Private	Goldendale School District	KLICKITAT	Yes	IIS	P-12	14	10	4	0	1	0	3	3	3	3	3	4	3
