"school_year"	"school_code"	"school_name"	"school_type"	"school_city"	"school_state"	"school_zip"	"school_county"	"school_district"	"district_code"	"grade_levels"	"reported"	"enrolled"	"total_exemptions"	"medical_exempt"	"personal_exempt"	"religious_exempt"	"exempt_DTTd"	"exempt_pertussis"	"exempt_polio"	"exempt_MMR"	"exempt_hepB"	"exempt_varicella"	"percent_exempt_DTTd"	"percent_exempt_pertussis"	"percent_exempt_polio"	"percent_exempt_MMR"	"percent_exempt_hepB"	"percent_exempt_varicella"	"percent_exempt"
"1"	"2011"	"1656"	"10th Street School"	"Public School"	"Marysville"	"WA"	"98271"	"SNOHOMISH"	"Marysville School District"	31025	"6-8"	"Yes"	181	10	0	10	0	4	5	5	6	5	0	2.21	2.76	2.76	3.31	2.76	0	5.52
"2"	"2011"	"1976"	"19-21 Transition Academy"	"Public School"	"Redmond"	"WA"	"98052"	"KING"	"Lake Washington School District"	17414	"12-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"2011"	"4500"	"A G West Black Hills High School"	"Public School"	"Tumwater"	"WA"	"98512"	"THURSTON"	"Tumwater School District"	34033	"9-12"	"Yes"	858	44	0	44	0	17	36	28	35	31	0	1.98	4.2	3.26	4.08	3.61	0	5.13
"4"	"2011"	"2834"	"A J West Elementary"	"Public School"	"Aberdeen"	"WA"	"98520"	"GRAYS HARBOR"	"Aberdeen School District"	14005	"K-6"	"Yes"	450	4	0	4	0	2	2	3	2	2	2	0.44	0.44	0.67	0.44	0.44	0.44	0.89
"5"	"2011"	"1533"	"A-3 Multiagency Adolescent Prog"	"Institution"	"Spokane"	"WA"	"99207"	"SPOKANE"	"Spokane School District"	32081	"9-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"2011"	"3209"	"Abraham Lincoln Elementary"	"Public School"	"WENATCHEE"	"WA"	"98801"	"CHELAN"	"Wenatchee School District"	4246	"K-5"	"Yes"	510	16	1	13	2	13	15	15	15	13	11	2.55	2.94	2.94	2.94	2.55	2.16	3.14
"7"	"2011"	"8835"	"Academic Institute"	"Private School"	"Bellevue"	"WA"	"98005"	"KING"	"Bellevue School District"	17405	"6-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	"2011"	"1483"	"Academy for Precision Learning "	"Private School"	"Seattle"	"WA"	"98105"	"KING"	"Seattle Public Schools"	17001	"K-5"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"2011"	"8826"	"Academy NW/Family Academy"	"Private School"	"Arlington"	"WA"	"9822"	"SNOHOMISH"	"Arlington School District"	31016	"K-12"	"Yes"	167	42	0	40	2	40	40	40	40	42	40	23.95	23.95	23.95	23.95	25.15	23.95	25.15
"10"	"2011"	"5063"	"Academy of Citizenship and Empowerment"	"Public School"	"SeaTac"	"WA"	"98188"	"KING"	"Highline School District"	17401	"9-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"2011"	"5209"	"Academy of Const and Engineering"	"Public School"	"Marysville"	"WA"	"98270"	"SNOHOMISH"	"Marysville School District"	31025	"9-12"	"Yes"	325	12	1	11	0	5	3	3	4	8	0	1.54	0.92	0.92	1.23	2.46	0	3.69
"12"	"2011"	"8240"	"Academy Schools/Children’s Academy"	"Private School"	"Tukwila"	"WA"	"98168"	"KING"	"Tukwila School District"	17406	"K-12"	"Yes"	48	6	2	3	1	4	4	4	4	5	5	8.33	8.33	8.33	8.33	10.42	10.42	12.5
"13"	"2011"	"4247"	"ACES High School"	"Public School"	"Everett"	"WA"	"98204"	"SNOHOMISH"	"Mukilteo School District"	31006	"9-12"	"Yes"	203	9	2	7	0	4	4	3	6	4	0	1.97	1.97	1.48	2.96	1.97	0	4.43
"14"	"2011"	"2585"	"Acme Elementary"	"Public School"	"Acme"	"WA"	"98220"	"WHATCOM"	"Mount Baker School District"	37507	"K-6"	"Yes"	205	11	0	11	0	9	9	10	9	11	6	4.39	4.39	4.88	4.39	5.37	2.93	5.37
"15"	"2011"	"2156"	"Adams Elementary"	"Public School"	"Spokane"	"WA"	"99223"	"SPOKANE"	"Spokane School District"	32081	"K-6"	"Yes"	329	25	2	20	3	9	9	9	2	15	6	2.74	2.74	2.74	0.61	4.56	1.82	7.6
"16"	"2011"	"3259"	"Adams Elementary"	"Public School"	"Spokane Valley"	"WA"	"99016"	"SPOKANE"	"Central Valley School District"	32356	"K-5"	"Yes"	432	28	2	25	1	16	16	17	18	14	18	3.7	3.7	3.94	4.17	3.24	4.17	6.48
"17"	"2011"	"4518"	"Adams Elementary"	"Public School"	"Wapato"	"WA"	"98951"	"YAKIMA"	"Wapato School District"	39207	"K-5"	"Yes"	3383	8	4	4	0	4	4	3	7	2	4	0.12	0.12	0.09	0.21	0.06	0.12	0.24
"18"	"2011"	"2138"	"Adams Elementary School"	"Public School"	"SEATTLE"	"WA"	"98107"	"KING"	"Seattle Public Schools"	17001	"K-5"	"Yes"	469	48	3	44	0	22	24	30	7	41	11	4.69	5.12	6.4	1.49	8.74	2.35	10.23
"19"	"2011"	"2592"	"Adams Elementary School"	"Public School"	"Yakima"	"WA"	"98901"	"YAKIMA"	"Yakima School District"	39007	"K-5"	"Yes"	652	5	2	3	0	3	4	5	4	3	1	0.46	0.61	0.77	0.61	0.46	0.15	0.77
"20"	"2011"	"3519"	"Adelaide Elementary School"	"Public School"	"Federal Way"	"WA"	"98023"	"KING"	"Federal Way School District"	17210	"K-5"	"Yes"	443	24	0	24	0	11	11	8	11	6	12	2.48	2.48	1.81	2.48	1.35	2.71	5.42
"21"	"2011"	"2227"	"Adna Elementary School"	"Public School"	"Adna"	"WA"	"98522"	"LEWIS"	"Adna School District"	21226	"K-5"	"Yes"	259	6	2	4	0	3	3	3	3	3	4	1.16	1.16	1.16	1.16	1.16	1.54	2.32
"22"	"2011"	"2441"	"Adna Middle/High School"	"Public School"	"Adna"	"WA"	"98522"	"LEWIS"	"Adna School District"	21226	"6-12"	"Yes"	355	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0.28	0	0.28
"23"	"2011"	"2822"	"Ahtanum Valley Elementary"	"Public School"	"Yakima"	"WA"	"98908"	"YAKIMA"	"West Valley School District (Yakima)"	39208	"K-4"	"Yes"	253	3	2	1	0	3	2	2	2	3	2	1.19	0.79	0.79	0.79	1.19	0.79	1.19
"24"	"2011"	"4862"	"A-I High School"	"Public School"	"Lakewood"	"WA"	"98499"	"PIERCE"	"Clover Park School District"	27400	"10-12"	"Yes"	70	2	1	0	1	0	2	1	1	1	0	0	2.86	1.43	1.43	1.43	0	2.86
"25"	"2011"	"4265"	"AIM High School"	"Public School"	"Snohomish"	"WA"	"98290"	"SNOHOMISH"	"Snohomish School District"	31201	"9-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	"2011"	"3774"	"Aki Kurose Middle School"	"Public School"	"Seattle"	"WA"	"98118"	"KING"	"Seattle Public Schools"	17001	"6-8"	"Yes"	648	39	3	36	0	23	24	28	5	25	13	3.55	3.7	4.32	0.77	3.86	2.01	6.02
"27"	"2011"	"3674"	"Albert Einstein Middle School"	"Public School"	"Shoreline"	"WA"	"98177"	"KING"	"Shoreline School District"	17412	"7-8"	"Yes"	716	71	8	62	1	39	37	24	33	35	0	5.45	5.17	3.35	4.61	4.89	0	9.92
"28"	"2011"	"1757"	"ALC"	"Public School"	"Snohomish"	"WA"	"98290"	"SNOHOMISH"	"Snohomish School District"	31201	"7-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
