School Building Code,School Name,School Type,Address,City,State,Zip,District Name,County,Grade Levels,Number of K-12 (All Grades) Students Enrolled ,Number of K-12 (All Grades) Students Complete,Number of K-12 (All Grades) Students with any Exemption,Number of K-12 (All Grades) Students with Medical Exemption,Number of K-12 (All Grades) Students with Personal Exemption,Number of K-12 (All Grades) Students with Religious Exemption,Number of K-12 (All Grades) Students with Religious Membership Exemption,Number of K-12 (All Grades) Students Exempt for Diphtheria Tetanus,Number of K-12 (All Grades) Students Exempt for Pertussis,Number of K-12 (All Grades) Students Exempt for Polio,Number of K-12 (All Grades) Students Exempt for MMR,Number of K-12 (All Grades) Students Exempt for Hep B,Number of K-12 (All Grades) Students Exempt for Varicella
8022,St. Mary School,Private School,518 North H St,Aberdeen,WA,98520,Aberdeen School District,GRAYS HARBOR,P-8,110,108,3,0,3,0,0,3,3,3,3,3,3
3857,Harbor High School,Public School,300 N. Williams,Aberdeen,WA,98520,Aberdeen School District,GRAYS HARBOR,9-12,123,121,2,0,1,1,0,2,2,2,1,0,0
3476,J M Weatherwax High School,Public School,410 North G Street,Aberdeen,WA,98520,Aberdeen School District,GRAYS HARBOR,9-12,911,886,25,0,25,0,0,21,22,15,21,15,0
2449,McDermoth Elementary,Public School,409 North K St,Aberdeen,WA,98520,Aberdeen School District,GRAYS HARBOR,K -6,384,338,6,0,6,0,0,4,4,3,4,2,6
2305,Miller Junior High,Public School,100 E Lindstrom,Aberdeen,WA,98520,Aberdeen School District,GRAYS HARBOR,7-8,458,449,9,0,8,1,0,9,9,5,5,6,0
2763,Robert Gray Elementary,Public School,1516 North B St,Aberdeen,WA,98520,Aberdeen School District,GRAYS HARBOR,PK-6,,,,,,,,,,,,,
2834,A J West Elementary,Public School,1801 Bay Ave,Aberdeen,WA,98520,Aberdeen School District,GRAYS HARBOR,PK-6,397,323,4,1,2,0,1,4,4,4,4,4,4
3216,Central Park Elementary,Public School,601 School Road,Aberdeen,WA,98520,Aberdeen School District,GRAYS HARBOR,K -6,174,153,5,0,5,0,0,3,3,3,2,3,5
2971,Stevens Elementary School,Public School,301 S. Farragut,Aberdeen,WA,98520,Aberdeen School District,GRAYS HARBOR,PK-6,479,435,12,0,12,0,0,9,9,9,10,10,12
2227,Adna Elementary School,Public School,P.O. Box 28,Adna,WA,98522,Adna School District,LEWIS,PK-5,234,216,7,2,5,0,0,5,5,5,5,3,7
2441,Adna Middle/High School,Public School,P.O. Box 148,Adna,WA,98522,Adna School District,LEWIS,6-12,358,340,11,1,8,2,0,8,8,5,5,6,1
2860,Almira Elementary School,Public School,PO BOX 217,Almira,WA,99103,Almira School District,LINCOLN,K -8,95,88,7,0,7,0,0,1,1,0,1,1,6
2467,Anacortes High School,Public School,1600 20th Street,Anacortes,WA,98221,Anacortes School District,SKAGIT,9-12,844,726,86,5,80,4,0,52,45,46,50,45,0
2707,Anacortes Middle School,Public School,2202 M Avenue,Anacortes,WA,98221,Anacortes School District,SKAGIT,7-8,391,317,50,4,44,1,1,31,27,28,30,33,0
5176,Cap Sante High School,Public School,1600 20th Street,Anacortes,WA,98221,Anacortes School District,SKAGIT,9-12,46,36,2,0,1,1,0,2,2,0,0,0,0
3182,Fidalgo Elementary,Public School,13590 Gibralter Road,Anacortes,WA,98221,Anacortes School District,SKAGIT,K -6,435,346,56,12,48,0,0,25,25,29,25,23,40
3252,Island View Elementary,Public School,2501 J Avenue,Anacortes,WA,98221,Anacortes School District,SKAGIT,K -6,455,355,74,6,69,0,0,44,43,47,46,42,49
3057,Mount Erie Elementary,Public School,1313 41st Street,Anacortes,WA,98221,Anacortes School District,SKAGIT,K -6,456,355,77,6,64,2,5,42,42,51,48,37,54
3404,Whitney Elementary,Public School,1200 M Avenue,Anacortes,WA,98221,Anacortes School District,SKAGIT,PK-K ,,,,,,,,,,,,,
8826,Academy NW/Family Academy,Private School,23420 Jordan Rd,Arlington,WA,98223,Arlington School District,SNOHOMISH,K-12,173,131,42,0,37,0,5,42,42,42,42,42,42
8371,Arlington Christian School,Private School,2425 200th NE,Arlington,WA,98223,Arlington School District,SNOHOMISH,P-12,13,12,1,0,1,0,0,0,0,0,1,0,1
8931,Highland Christian Schools,Private School,135 S French,Arlington,WA,98223,Arlington School District,SNOHOMISH,K-12,94,0,0,0,0,0,0,0,0,0,0,0,0
2523,Arlington High School,Public School,18821 Crown Ridge Blvd,Arlington,WA,98223,Arlington School District,SNOHOMISH,9-12,1626,1472,131,15,113,6,0,87,81,62,81,82,0
4327,Eagle Creek Elementary,Public School,1216 E 5th,Arlington,WA,98223,Arlington School District,SNOHOMISH,K -5,532,477,51,7,40,6,0,31,31,33,33,36,43
5010,Haller Middle School,Public School,600 E. First,Arlington,WA,98223,Arlington School District,SNOHOMISH,6-8,664,609,50,11,40,0,0,26,26,21,28,23,6
4436,Kent Prairie Elementary,Public School,8110 207th St NE,Arlington,WA,98223,Arlington School District,SNOHOMISH,K -5,594,528,64,18,44,3,0,35,36,36,43,37,54
4573,Pioneer Elementary,Public School,8213 Eaglefield Dr,Arlington,WA,98223,Arlington School District,SNOHOMISH,K -5,593,533,47,1,43,2,1,28,27,28,31,28,39
3124,Post Middle School,Public School,1220 E. 5th St,Arlington,WA,98223,Arlington School District,SNOHOMISH,6-8,582,508,73,5,63,9,0,45,37,38,34,38,18
4154,Presidents Elementary,Public School,505 East Third,Arlington,WA,98223,Arlington School District,SNOHOMISH,PK-5,544,492,51,4,42,4,1,30,31,27,29,20,37
1714,Stillaguamish School,Public School,1215 E 5th,Arlington,WA,98223,Arlington School District,SNOHOMISH,K -12,189,102,69,2,64,3,0,62,61,52,55,47,28
4287,Weston High School,Public School,4407 172nd Street NE,Arlington,WA,98223,Arlington School District,SNOHOMISH,9-12,134,118,11,1,10,0,0,11,9,6,9,9,0
2507,Asotin Elementary,Public School,PO Box 489,Asotin,WA,99402,Asotin-Anatone School District,ASOTIN,PK-6,283,257,18,7,10,1,0,15,16,15,15,12,17
2434,Asotin Jr Sr High,Public School,215 Second St,Asotin,WA,99402,Asotin-Anatone School District,ASOTIN,7-12,332,312,16,7,8,0,1,16,15,7,7,6,1
8096,Auburn Adventist Academy,Private School,5000 Auburn Way S,Auburn,WA,98002,Auburn School District,KING,9-12,229,221,8,0,8,0,0,8,8,8,8,8,8
8097,Buena Vista SDA School,Private School,3320 Academy Dr SE,Auburn,WA,98092,Auburn School District,KING,K-8,196,176,20,0,19,1,0,16,16,13,13,10,18
8098,Holy Family School,Private School,505 17th St SE,Auburn,WA,98002,Auburn School District,KING,P-8,158,153,5,2,3,0,0,3,3,3,4,4,4
8848,Rainier Christian High School,Private School,19830 SE 328th Pl,Auburn,WA,98092,Auburn School District,KING,9-12,109,82,19,0,19,0,0,17,17,17,18,17,27
8443,Valley Christian School,Private School,1312 2nd St SE,Auburn,WA,98002,Auburn School District,KING,P-8,97,97,10,0,9,1,0,4,4,5,5,10,5
8756,Green River Montessori School,Private School,922 12th St NE,Auburn,WA,98002,Auburn School District,KING,P-12,,,,,,,,,,,,,
8622,Rainier Christian Schools-Kent View Elementary,Private School,20 49th St NE,Auburn,WA,98002,Auburn School District,KING,P-6,164,142,6,0,6,0,0,6,6,6,6,6,6
2795,Auburn Senior High School,Public School,800 4TH ST NE,Auburn,WA,98002,Auburn School District,KING,9-12,1473,1383,52,10,37,6,1,37,33,22,34,28,0
2394,Cascade Middle School,Public School,1015 24TH ST NE,Auburn,WA,98002,Auburn School District,KING,6-8,730,579,24,0,20,3,1,15,13,15,17,22,4
2702,West Auburn Senior High School,Public School,401 W MAIN ST,Auburn,WA,98001,Auburn School District,KING,9-12,278,231,3,0,3,0,0,2,0,2,2,3,0
3825,Alpac Elementary School,Public School,310 MILWAUKEE BLVD N,Pacific,WA,98047,Auburn School District,KING,PK-5,477,449,16,0,16,0,0,15,15,14,14,11,15
4474,Auburn Riverside High School,Public School,501 ORAVETZ RD SE,Auburn,WA,98092,Auburn School District,KING,9-12,1596,1525,56,4,50,2,0,36,35,30,31,28,0
3439,Chinook Elementary School,Public School,3502 AUBURN WAY S,Auburn,WA,98092,Auburn School District,KING,PK-5,368,324,8,2,6,0,0,3,3,3,5,4,7
2932,Dick Scobee Elementary School,Public School,1031 14TH ST NE,Auburn,WA,98002,Auburn School District,KING,PK-5,482,433,23,5,14,4,0,16,15,16,17,11,20
3745,Evergreen Heights Elementary,Public School,5602 S 316TH ST,Auburn,WA,98001,Auburn School District,KING,PK-5,464,388,16,3,11,2,0,9,8,10,11,4,15
3669,Gildo Rey Elementary School,Public School,1005 37TH ST SE,Auburn,WA,98002,Auburn School District,KING,PK-5,551,512,15,5,9,1,0,11,11,11,10,8,14
4347,Hazelwood Elementary School,Public School,11815 SE 304TH ST,Auburn,WA,98092,Auburn School District,KING,PK-5,559,508,37,10,28,0,0,22,22,25,27,16,33
