ESD No	ESD Name	District-County Code	District name	Mailing AddressLine1	Mailing  AddressLine2	Mailing City	Mailing  State	Mailing  ZipCode	Physical AddressLine1	Physical  AddressLine2	Physical City	Physical  State	Physical  ZipCode	Superintendent Name	phone
34801	Educational Service District 113	14005	Aberdeen School District	216 N G ST		ABERDEEN	Washington	98520-5297	216 N G ST		ABERDEEN	Washington	98520-5297	Thomas Opstad	360.538.2002
34801	Educational Service District 113	21226	Adna School District	PO BOX 118		ADNA	Washington	98522-0118	179 DIECKMAN RD		ADNA	Washington	98522-0118	James Forrest	360.748.9217
32801	Educational Service District 101	22017	Almira School District	PO BOX 217		ALMIRA	Washington	99103-0217	310 S 3RD ST		ALMIRA	Washington	99103-0217	Shauna Schmerer	509.639.2414
29801	Northwest Educational Service District 189	29103	Anacortes School District	2200 M AVE		ANACORTES	Washington	98221-3794	2200 M AVE		ANACORTES	Washington	98221-3794	Chris Borgen	(360) 293-1212
29801	Northwest Educational Service District 189	31016	Arlington School District	315 N FRENCH AVE		ARLINGTON	Washington	98223-1317	315 N FRENCH AVE		ARLINGTON	Washington	98223-1317	Kristine McDuffy	360.618.6200
11801	Educational Service District 123	2420	Asotin-Anatone School District	PO BOX 489		ASOTIN	Washington	99402-0489	314 FIRST ST		ASOTIN	Washington	99402-0489	Greg Godwin	509.243.1100
17801	Puget Sound Educational Service District 121	17408	Auburn School District	915 4TH ST NE		AUBURN	Washington	98002-4499	915 4TH ST NE		AUBURN	Washington	98002-4499	Dennis Herren	253.931.4914
17801	Puget Sound Educational Service District 121	18303	Bainbridge Island School District	8489 MADISON AVE NE		BAINBRIDGE ISLAND	Washington	98110-2999	8489 MADISON AVE NE		BAINBRIDGE ISLAND	Washington	98110-2999	Faith Chapel	206.780.1050
6801	Educational Service District 112	6119	Battle Ground School District	PO BOX 200		BATTLE GROUND	Washington	98604-0200	11104 NE 149TH ST		BATTLE GROUND	Washington	98604-0200	Shonny Bria	360.885.5302
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	PO BOX 90010		BELLEVUE	Washington	98005-3183	12111 NE 1ST ST		BELLEVUE	Washington	98005-3183	J. Tim Mills	425.456.4172
29801	Northwest Educational Service District 189	37501	Bellingham School District	1306 DUPONT ST		BELLINGHAM	Washington	98225-3118	1306 DUPONT ST		BELLINGHAM	Washington	98225-3118	Greg Baker	360.676.6501
32801	Educational Service District 101	1122	Benge School District	2978 E BENGE WINONA RD		BENGE	Washington	99105-9705	2978 E BENGE WINONA RD		BENGE	Washington	99105-9705	Mary Ault	(509) 887-2370
17801	Puget Sound Educational Service District 121	27403	Bethel School District	516 176TH ST E		SPANAWAY	Washington	98387-8399	516 176TH ST E		SPANAWAY	Washington	98387-8399	Thomas Seigel	253.683.6000
39801	Educational Service District 105	20203	Bickleton School District	PO BOX 10		BICKLETON	Washington	99322-0010	100 MARKET ST		BICKLETON	Washington	99322-0010	Ric Palmer	(509) 896-5473
29801	Northwest Educational Service District 189	37503	Blaine School District	765 H Street		BLAINE	Washington	00009-8230	765 H Street		BLAINE	Washington	00009-8230	Ron Spanjer	360.332.5881
34801	Educational Service District 113	21234	Boistfort School District	983 BOISTFORT RD		CURTIS	Washington	98538-9734	983 BOISTFORT RD		CURTIS	Washington	98538-9734	Richard Apperson	(360) 245-3343
18801	Olympic Educational Service District 114	18100	Bremerton School District	134 MARION AVE N		BREMERTON	Washington	98312-3542	134 MARION AVE N		BREMERTON	Washington	98312-3542	"Lester ""Flip"" Herndon"	360.473.1004
