County	Public School District	School Name	School Bldg Number	Administrator	Address	City	State	Zip	Phone Number	Email Address	Web Site Address	Grade	Profit/Non-Profit	Accredited
King	Bellevue	Academic Institute	8835	Jennifer Vice	13400 NE 20th Suite 47	Bellevue	WA	98005-2023	425.401.6844	jennifer@academicinstitute.com	www.academicinstitute.com	7-12	P	NWAC
King	Seattle	Academy for Precision Learning 	1483	Jennifer Annable	5031 University Way NE                                   (Mail: PO Box 51241                                    Seattle 98115-1241)	Seattle	WA	98105-4341	206.427.0115	jennifer@aplschool.org	www.aplschool.org	K-9	NP	
Snohomish	Arlington	Academy NW/Family Academy	8826	Diana McAlister	"23420 Jordan Rd                            (Mail: PO Box 66839,           Seattle 98106)"	Arlington	WA	 98223-9584	360.435.9423	dianamca@familyacademy.org	www.academynorthwest.org	K-12	NP	NWAC
King	Tukwila	Academy Schools/Children’s Academy	8240	Janelle Neil	14601 Interurban Ave S  	Tukwila	WA	98168-4652	206.588.0860	administration@academyschools.org	www.academyschools.org	P-12	NP	
King	Seattle	Alcuin School	8580	Christine Williams	216 W Boston	Seattle	WA	98119-2641	206.286.0771	chris@alcuinschool.com	www.alcuinschool.com	P-1	P	
Whatcom	Mount Baker	"Alger Learning Center, Inc."	8946	John Lackey	121 Alder Dr	Sedro-Woolley	WA	98284-8862	360.595.2630	orion@nas.com	www.independent-learning.com	P-12	P	
Spokane	Spokane	All Saints Catholic School	8196	Kathy Hicks	3510 E 18th Ave	Spokane	WA	99223-3813	509.534.1098 x 215	khicks@dioceseofspokane.org	www.allsaintsspokane.org	P-8	NP	WCEA
Pierce	Fife	All Saints School	8469	Terry Maguire	2323 54th Ave E	Fife	WA	98424-1918	253.922.5360	tmaguire@allsaintsparish.com    	www.allsaintspuyallup.org	P-2	NP	WCEA
Pierce	Puyallup	All Saints School	8128	Terry Maguire	504 2nd St SW	Puyallup	WA	98371-5801	253.845.5025	tmaguire@allsaintsparish.com    	www.allsaintspuyallup.org	3-8	NP	WCEA
Kitsap	Bremerton	Alta Vista School	8219	Charles G. Shores	245 4th St Suite 303	Bremerton	WA	98337-1801	360.479.7438	altavi@aol.com	altavistaschool.org	7-12	NP	
King	Seattle	Amazing Grace Christian School	8343	Dr. David-Paul Zimmerman	10056 Renton Ave S	Seattle	WA	98178-2255	206.723.5526	drzimmerman@agcschool.org	www.agcschool.org	K-8	NP	
King	Mercer Island	American Academy	8472	Brent T. Davis	"7834 SE 32nd St, Suite 204"	Mercer Island	WA	98040-2972	206.230.5672	BrentDavis1@msn.com	www.CompleteEducation.org/AmericanAcademy.htm	K-12	P	NWAC
King	Bellevue	America's Child Montessori	8654	Linda Kebely	14340 NE 21st		WA	98007-3721	425.641.5437	dkebely@msn.com	www.americaschild.net	P-2	P	
Pierce	Tacoma	Annie Wright School	8130	Christian Sullivan	827 Tacoma Ave N	Tacoma	WA	98403-2899	253.284.5420	christian_sullivan@aw.org	www.aw.org	P-12	NP	PNAIS
King	Seattle	Applied Scholastics Academy of Seattle	801H	Sharon West	520 NE Ravenna Blvd	Seattle	WA	98115-6460	206.522.5992/              206.369.7833	"info@asa-seattle.org
sharon@asa-seattle.org"	www.asa-seattle.org	K-6	NP	
King	Issaquah	Arbor Schools (formerly Eastside Montessori Education Foundation dba Arbor Schools  (formerly Eastside Montessori Education Foundation 2011) 2012)	8479	Mary O'Brien	1107 228th Ave SE	Sammamish	WA	98075-9509	425.392.3866	mary@arborschools.com	www.arborschools.com	P-9	NP	
Snohomish	Everett	Archbishop Thomas J. Murphy High School	8883	Steve Schmutz	12911 39th Ave SE	Everett	WA	98208-6159	425.379.6363	sschmutz@am-hs.org	www.archbishopmurphys.org	9-12	NP	NAAS
Snohomish	Lakewood	Arlington Christian School	8371	Tom Murray	2425 200th NE                                          (Mail: PO Box 3337                              Arlington 98223-3337)	Arlington	WA	98223-9757	360.652.2988	vickik@arlingtonchristianschool.org	arlingtonchristianschool.org	P-12	NP	
Whatcom	Bellingham	Assumption Catholic School	8215	Monica Des Jarlais	2116 Cornwall Ave	Bellingham	WA	98225-3699	360.733.6133	mdesjarl@school.assumption.org	www.school.assumption.org	P-8	NP	WCEA
Walla Walla	Walla Walla	Assumption Grade School	8212	John Lesko	2066 E Alder St	Walla Walla	WA	99362-2699	509.525.9283	jlesko@wallawallacatholicschools.com	www.wallawallacatholicschools.com	P-8	NP	WCEA
Spokane	Spokane	Assumption School	8175	Carmen Himenes	3618 W Indian Trail Rd	Spokane	WA	99208-4734	509.328.1115	chimenes@dioceseofspokane.org	www.assumptionspokane.org	P-8	NP	
King	Seattle	Assumption St. Bridget	8028	Kathi Hand	6220 32nd Ave NE	Seattle	WA	98115-7233	206.524.7452	klhand@asbschool.org	www.asbschool.org	K-8	NP	WCEA
King	Auburn	Auburn Adventist Academy	8096	Samir Berbawy	5000 Auburn Way S	Auburn	WA	98002-7204	253.939.5000	principal@auburn.org	www.auburn.org	9-12	NP	SDA
Whatcom	Ferndale	Baker View Christian School	8755	Keith Lindsey	5353 Waschke Rd	Bellingham	WA	98226-9612	360.384.8155	wkeithlindsey@msn.com	www.bakerviewschool.com	P-8	NP	SDA
Pierce	Tacoma	Bellarmine Preparatory School	8132	Christopher J. Gavin	2300 S Washington St	Tacoma	WA	98405-1399	253.752.7701	gavinc@bellarmineprep.org	www.bellarmineprep.org	9-12	NP	NWAC
King	Bellevue	Bellevue Children's Academy	8292	Yuka Shimizu	14600 NE 24th St	Bellevue	WA	98007-3723	425.556.0791	bcacademy@bcacademy.com	www.bcacademy.com	P-5	P	
King	Bellevue	Bellevue Children's Academy  2nd Location	801T	Yuka Shimizu	14640 NE 24th St	Bellevue	WA	98007-3723	425.556.0791	bcacademy@bcacademy.com	www.bcacademy.com	2-8	P	
King	Northshore	Bellevue Christian Mack Elementary	8875	Ron Taylor	"18250 168th Pl NE                  
(Mail: 1601 98th Ave NE       
Clyde Hill 98004-3400)"	Woodinville	WA	98072-9616	425.485.1824	rtaylor@bellevuechristian.org	www.bellevuechristian.org	P-6	NP	CSI
King	Bellevue	Bellevue Christian School	8091	Ron Taylor	1601 98th Ave NE	Clyde Hill	WA	98004-3400	425.454.4402	rtaylor@bellevuechristian.org	www.bellevuechristian.org	7-12	NP	CSI
King	Bellevue	Bellevue Montessori School	8336	Christine Hoffman	2411 112th Ave NE	Bellevue	WA	98004-2048	425.454.7439	info@bellmontessori.org	www.bellmontessori.org	P-5	P	
Whatcom	Bellingham	Bellingham Christian School	8216	Bob Sampson	1600 E Sunset Dr	Bellingham	WA	98226-5631	360.733.7303	sampson@bellinghamchristianschool.org	www.bellinghamchristianschool.org	P-8	NP	
King	Bellevue	Bel-Red Bilingual Academy	1460	Sue Tang	15061 Bel-Red Rd	Bellevue	WA	98007-4211	425.283.0717	suetangh2008@hotmail.com	www.brbacademy.com	P-3	P	NWAC
King	Seattle	Bertschi School	8432	Brigitte Bertschi	2227 10th Ave E	Seattle	WA	98102-4177	206.324.5476	brigitte@bertschi.org	www.bertschi.org	P-5	NP	PNAIS
Kitsap	South Kitsap	Bethany Lutheran Elementary	8373	Timothy Thies	151 Tremont St W	Port Orchard	WA	98366-3737	360.876.1300	bethany.lutheran@wavecable.com	www.BethanyLutheranES.org	P-8	NP	
Snohomish	Marysville	Bethehem Christian School	802M	Kelly Stadum	7215 51st Ave NE	Marysville	WA	98270	360.653.2882	school@BethlehemLutheran.com	www.BethlehemLutheran.com	P-1	NP	
Benton	Kennewick	Bethlehem Lutheran School	8001	Eric Haan	2505 W 27th Ave	Kennewick	WA	99337-2911	509.582.5624	bls-office@blcbls.org	www.blcbls.org	P-8	NP	
King	Seattle	Billings Middle School	8530	Ted Kalmus	7217 Woodlawn Ave NE	Seattle	WA	98115-5335	206.547.4614	tedk@billingsmiddleschool.org	www.billingsmiddleschool.org	6-8	NP	PNAIS
King	Seattle	Bishop Blanchet High School	8029	Shelia Kries	8200 Wallingford Ave N	Seattle	WA	98103-4599	206.527.7711	principal@bishopblanchet.org	www.bishopblanchet.org	9-12	NP	NWAC
King	Bellevue	BK Play Academy for Gifted Children	800A	Ben Kwak	6236 122nd Ave SE	Bellevue	WA	98006-4445	425.747.4775	info@bkplay.com	www.bkplay.com	P-3	NP	
King	Tahoma	Blossoming Hill Montessori	801U	Teresa Marie Falavigna	23855 SE 216th St                           (Mail: 1815 Ilwaco Ave NE        Renton WA 98059-4240)	Maple Valley	WA	98038-8402	206.225.9291	teresa@blossominghill.org	www.blossominghill.org	P-6	NP	
Whatcom	Ferndale	Bridgeway Christian Academy	800D	Roxann Rose	858 W Smith Rd	Bellingham	WA	98226-9613	360.384.5923	roxann.rose@wwu.edu	www.bridgeway-christian-academy.org	K-5	NP	
Clark	Camas	Bright Futures Christian School (formerly Bright Futures Learning Center) (2010)	1497	Cindie Boyles	717 SE Everett Rd	Camas 	WA	98607-7164	360.835.0558	info@brightfuturesonline.org	www.brightfuturesonline.org	P-6	NP	NWAC
King	Seattle	Bright Water School	1422	Laura Crandall	1501 Tenth Ave E  Suite 100	Seattle	WA	98102-4256	206.624.6176	lcrandall@brightwaterschool.org	www.brightwaterschool.org	P-8	NP	
King	Bellevue	Brightmont Academy--Bellevue Campus (formerly Educational Advancement Academy 2011  (now owned by Apex Learning))	8534	Kirt Nilsson	12360 NE 8th St  Suite 210	Bellevue	WA	98005-4801	425.373.0800	ruth.wilson@brightmontacademy.com	www.brightmontacademy.com 	6-12	P	NWAC
King	Lake Washington	Brightmont Academy--Sammamish Campus (formerly Educational Advancement Academy 2011)	1406	Kirt Nilsson	711 228th Ave NE	Sammamish	WA	98074-7223	425.836.1600	ruth.wilson@brightmontacademy.com	www.brightmontacademy.com 	6-12	P	NWAC
King	Seattle	Brightmont Academy--Seattle Campus (formerly Educational Advancement Academy 2011)	8384	Kirt Nilsson	9750 Third Ave NE  Ste 102               (Mail: 1215 Fourth Ave  Suite 1500 Seattle 98161-1001)	Seattle	WA	98115-2022	206.284.2300	ruth.wilson@brightmontacademy.com	www.brightmontacademy.com 	6-12	P	NWAC
Snohomish	Edmonds	Brighton School	8727	David Locke	6717 212th St SW	Lynnwood	WA	98036-7325	425.672.4430	david.locke@nlcinc.com	www.brightonschool.com	P-8	P	NWAC
King	Northshore	Brock's Academy (formerly Northwest Academy   2011)	1446	Dr. Melodee R. Loshbaugh	17907 145th PL NE               	Woodinville	WA	98072-9244	425.483.1353	weeducate4u@hotmail.com	brocksacademy.com	K-12	P	
King	Federal Way	Brooklake Christian School	8944	Julie Friedland	629 S 356th St	Federal Way	WA	98003-8651	253.517.8198	rpecota@brooklake.org	www.brooklakechristianschool.org	P-6	NP	
x	Auburn	Buena Vista SDA School	8097	Ronald Trautwein	3320 Academy Dr SE	Auburn	WA	98092-7341	253.833.0718	bvprincipal@bvsda.org	www.bvsda.org	K-8	NP	SDA
Kitsap	South Kitsap	Burley Christian School	8586	Dennis Myers	14687 Olympic Dr SE                                              (Mail: PO Box 729                                      Burley  98322-0729)	Port Orchard	WA	98367-8918	253.857.6200	Dennis@bbcol.org	burleybc.com/school.html	P-12	NP	
Spokane	Central Valley	Calvary Chapel Christian School	1461	Kent Gunnison	16409 E Broadway Ave	Spokane	WA	99037-9542	509.921.9460	Office@calvaryspokanevalley.com	www.calvarychristianspokane.com	P-8	NP	
Snohomish	Everett	Calvary Christian Academy	1462	Jeanene L. Lorey	"3332 Colby Ave
(Mail: 1831 Atlas Rd
Bothell 98021-9242)"	Everett	WA	98201-4309	425.481.9136	JeaneneLorey@msn.com	calvaryacademy-everett.org	P-3	NP	
Benton	Kennewick	Calvary Christian School	8406	Robb Wallace	10611 W Clearwater Ave	Kennewick	WA	99336-8621	509.735.1002	robbcctc@gmail.com	www.ccstricities.org	P-8	NP	
