"","country","mean_hours","median_hours","min_hours","max_hours","n","hpi.rank","sub.region","life..expectancy","well.being..0.10.","happy.life.years","footprint..gha.capita.","happy.planet.index","population","gdp.capita...ppp.","governance.rank..1...highest.gov.."
"1","Argentina",37.5,37.5,35,38.7884615384615,28,17,"1b",75.9,6.441067205,55.01527763,2.709071235,54.05504167,40412000,16011.6728,"73"
"2","Australia",34.2163460700067,34.3855766883264,33.109614445613,34.8192302997296,28,76,"2a",81.9,7.405616149,65.47197793,6.68499159,41.97981195,22299000,38159.63365,"10"
"3","Austria",31.696730935362,31.696730935362,31.3519240159255,32.0730778620793,28,48,"2c",80.9,7.346035958,64.29990018,5.291345642,47.0851352,8390000,40006.18691,"11"
"4","Bangladesh",44.25,44.25,44.25,44.25,28,11,"5a",68.9,4.985649184,42.18832757,0.656558837,56.29200118,148692000,1659.15186,"117"
"5","Belgium",32.0123076923077,32.0123076923077,29.7884615384615,34.5961538461538,28,107,"2c",80,6.853514084,60.53820371,7.11051271,37.09052775,10896000,37631.06211,"18"
"6","Brazil",33.6153846153846,33.6153846153846,32.4807692307692,34.5384615384615,28,21,"1b",73.5,6.837331186,55.52751215,2.934764729,52.93199603,194946000,11210.39081,"53"
"7","Canada",33.9804944887266,33.9913470928485,33.3480764535757,34.8499990609976,28,65,"2b",81,7.650346263,66.2851436,6.428537676,43.55983899,34126000,39050.16732,"9"
"8","Chile",37.1282051282052,37.1282051282052,36.5769230769231,38.1538461538462,28,19,"1b",79.1,6.635655696,58.52480018,3.237786332,53.88333757,17113688,15779.25948,"23"
"9","Colombia",37.4807692307692,37.4807692307692,36.75,38,28,3,"1b",73.7,6.408113706,53.23285759,1.801067791,59.75102256,46295000,9452.796069,"80"
"10","Costa Rica",35.8782051282051,35.8782051282051,35.7884615384615,35.9615384615385,28,1,"1a",79.3,7.271053807,62.5684836,2.520027779,64.03592581,4659000,11568.60844,"40"
"11","Denmark",30.388176551232,30.2913466233474,29.4365375225361,31.8980759840745,28,110,"2d",78.8,7.770515285,65.21693246,8.253636745,36.61236885,5547000,40162.59001,"2"
"12","Ecuador",36.1346153846154,36.1346153846154,34.0576923076923,37.3653846153846,28,23,"1b",75.6,5.838051509,51.2731633,2.367701679,52.48136515,14465000,8027.559519,"113"
